secteur,scenario,cout_total,km_total,heures_total,part_a_vide,nb_vehicules_8h,T1
outremont,baseline,564.14,53.005,5.3,0.1871,1,
outremont,arteriel,571.76,59.304,5.93,0.2735,1,1.182
outremont,services,571.4,59.01,5.901,0.2699,1,2.443
outremont,transport,571.65,59.218,5.922,0.2724,1,3.619
verdun,baseline,1100.69,83.217,8.322,0.1277,2,
verdun,arteriel,1107.64,88.958,8.896,0.184,2,3.314
verdun,services,1113.59,93.88,9.388,0.2268,2,3.847
verdun,transport,1106.38,87.921,8.792,0.1744,2,7.859
anjou,baseline,1737.55,196.319,19.632,0.2629,3,
anjou,arteriel,1756.17,211.71,21.171,0.3165,3,10.772
anjou,services,1754.31,210.172,21.017,0.3115,3,3.21
anjou,transport,1783.6,234.381,23.438,0.3826,3,14.318
riviere-des-prairies-pointe-aux-trembles,baseline,4155.96,542.113,54.211,0.2371,7,
riviere-des-prairies-pointe-aux-trembles,arteriel,4678.74,560.945,56.094,0.2627,8,19.292
riviere-des-prairies-pointe-aux-trembles,services,4681.89,563.547,56.355,0.2661,8,7.664
riviere-des-prairies-pointe-aux-trembles,transport,4724.21,598.517,59.852,0.309,8,33.539
